 "GAGE No.    5:  K,I,J Coord. =     1,  133,  129;  STREAM SEGMENT =    12;  REACH =   153 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     8.2000000E+01   8.2831866E+02   9.4773820E+04   3.2568243E-01   2.5000000E+01   9.5121336E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7699213E-02   2.7699213E-02
     8.3000000E+01   8.2831818E+02   9.4378383E+04   3.2519138E-01   2.5000000E+01   9.4725820E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7692452E-02   2.7692452E-02
     8.4000000E+01   8.2831750E+02   9.4112016E+04   3.2450080E-01   2.5000000E+01   9.4458664E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7629506E-02   2.7629506E-02
     8.5000000E+01   8.2831702E+02   9.3788836E+04   3.2402661E-01   2.5000000E+01   9.4135281E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7613504E-02   2.7613504E-02
     8.6000000E+01   8.2831641E+02   9.3573367E+04   3.2340297E-01   2.5000000E+01   9.3919117E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7558059E-02   2.7558059E-02
     8.7000000E+01   8.2831586E+02   9.3342633E+04   3.2284716E-01   2.5000000E+01   9.3687898E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7518965E-02   2.7518965E-02
     8.8000000E+01   8.2831543E+02   9.3132438E+04   3.2242724E-01   2.5000000E+01   9.3477477E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7500985E-02   2.7500985E-02
     8.9000000E+01   8.2831500E+02   9.2970953E+04   3.2200193E-01   2.5000000E+01   9.3315648E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7473619E-02   2.7473619E-02
     9.0000000E+01   8.2831458E+02   9.2829008E+04   3.2160470E-01   2.5000000E+01   9.3173406E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7449910E-02   2.7449910E-02
     9.1000000E+01   8.2831433E+02   9.2736766E+04   3.2132828E-01   2.5000000E+01   9.3081109E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7446382E-02   2.7446382E-02
     9.2000000E+01   8.2831396E+02   9.2639953E+04   3.2097682E-01   2.5000000E+01   9.2983992E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7422050E-02   2.7422050E-02
     9.3000000E+01   8.2831366E+02   9.2494609E+04   3.2070503E-01   2.5000000E+01   9.2838609E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7418889E-02   2.7418889E-02
     9.4000000E+01   8.2831366E+02   9.2575625E+04   3.2066876E-01   2.5000000E+01   9.2919984E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7447294E-02   2.7447294E-02
     9.5000000E+01   8.2831360E+02   9.2733656E+04   3.2059503E-01   2.5000000E+01   9.3078164E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7459120E-02   2.7459120E-02
     9.6000000E+01   8.2831354E+02   9.2810562E+04   3.2058448E-01   2.5000000E+01   9.3155422E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7486680E-02   2.7486680E-02
     9.7000000E+01   8.2831378E+02   9.2997953E+04   3.2081768E-01   2.5000000E+01   9.3343539E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7544519E-02   2.7544519E-02
     9.8000000E+01   8.2831409E+02   9.3340461E+04   3.2110852E-01   2.5000000E+01   9.3686789E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7604489E-02   2.7604489E-02
     9.9000000E+01   8.2831525E+02   9.3266148E+04   3.2229206E-01   2.5000000E+01   9.3615242E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7824419E-02   2.7824419E-02
     1.0000000E+02   8.2831586E+02   9.4856102E+04   3.2285216E-01   2.5000000E+01   9.5205875E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7878821E-02   2.7878821E-02
     1.0100000E+02   8.2831744E+02   9.7950656E+04   3.2445493E-01   2.5000000E+01   9.8303836E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.8150264E-02   2.8150264E-02
     1.0200000E+02   8.2832233E+02   1.0161285E+05   3.2932106E-01   2.5000000E+01   1.0197652E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.8985500E-02   2.8985500E-02
     1.0300000E+02   8.2833270E+02   1.0337579E+05   3.3969608E-01   2.5000000E+01   1.0376078E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.0685456E-02   3.0685456E-02
     1.0400000E+02   8.2835944E+02   1.1539165E+05   3.6642733E-01   2.5000000E+01   1.1583263E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.5148628E-02   3.5148628E-02
     1.0500000E+02   8.2844794E+02   1.6546067E+05   4.5496619E-01   2.5000000E+01   1.6609283E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   5.0385993E-02   5.0385993E-02
     1.0600000E+02   8.2852441E+02   2.1441364E+05   5.3141642E-01   2.5000000E+01   2.1516783E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   6.0111921E-02   6.0111921E-02
