STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SFJ,D,41,M FLOW,20020507 0000,20020507 0000,819, ,CFS
SFJ,D,41,M FLOW,20020508 0000,20020508 0000,739, ,CFS
SFJ,D,41,M FLOW,20020509 0000,20020509 0000,659, ,CFS
SFJ,D,41,M FLOW,20020510 0000,20020510 0000,619, ,CFS
SFJ,D,41,M FLOW,20020511 0000,20020511 0000,580, ,CFS
SFJ,D,41,M FLOW,20020512 0000,20020512 0000,559, ,CFS
SFJ,D,41,M FLOW,20020513 0000,20020513 0000,614, ,CFS
SFJ,D,41,M FLOW,20020514 0000,20020514 0000,701, ,CFS
SFJ,D,41,M FLOW,20020515 0000,20020515 0000,678, ,CFS
SFJ,D,41,M FLOW,20020516 0000,20020516 0000,656, ,CFS
SFJ,D,41,M FLOW,20020517 0000,20020517 0000,697, ,CFS
SFJ,D,41,M FLOW,20020518 0000,20020518 0000,772, ,CFS
SFJ,D,41,M FLOW,20020519 0000,20020519 0000,766, ,CFS
SFJ,D,41,M FLOW,20020520 0000,20020520 0000,766, ,CFS
SFJ,D,41,M FLOW,20020521 0000,20020521 0000,687, ,CFS
SFJ,D,41,M FLOW,20020522 0000,20020522 0000,607, ,CFS
SFJ,D,41,M FLOW,20020523 0000,20020523 0000,547, ,CFS
SFJ,D,41,M FLOW,20020524 0000,20020524 0000,520, ,CFS
SFJ,D,41,M FLOW,20020525 0000,20020525 0000,528, ,CFS
SFJ,D,41,M FLOW,20020526 0000,20020526 0000,594, ,CFS
SFJ,D,41,M FLOW,20020527 0000,20020527 0000,671, ,CFS
SFJ,D,41,M FLOW,20020528 0000,20020528 0000,773, ,CFS
SFJ,D,41,M FLOW,20020529 0000,20020529 0000,911, ,CFS
SFJ,D,41,M FLOW,20020530 0000,20020530 0000,1029, ,CFS
SFJ,D,41,M FLOW,20020531 0000,20020531 0000,917, ,CFS
SFJ,D,41,M FLOW,20020601 0000,20020601 0000,880, ,CFS
SFJ,D,41,M FLOW,20020602 0000,20020602 0000,836, ,CFS
SFJ,D,41,M FLOW,20020603 0000,20020603 0000,739, ,CFS
SFJ,D,41,M FLOW,20020604 0000,20020604 0000,649, ,CFS
SFJ,D,41,M FLOW,20020605 0000,20020605 0000,647, ,CFS
SFJ,D,41,M FLOW,20020606 0000,20020606 0000,680, ,CFS
SFJ,D,41,M FLOW,20020607 0000,20020607 0000,629, ,CFS
SFJ,D,41,M FLOW,20020608 0000,20020608 0000,556, ,CFS
SFJ,D,41,M FLOW,20020609 0000,20020609 0000,487, ,CFS
SFJ,D,41,M FLOW,20020610 0000,20020610 0000,441, ,CFS
SFJ,D,41,M FLOW,20020611 0000,20020611 0000,403, ,CFS
SFJ,D,41,M FLOW,20020612 0000,20020612 0000,372, ,CFS
SFJ,D,41,M FLOW,20020613 0000,20020613 0000,357, ,CFS
SFJ,D,41,M FLOW,20020614 0000,20020614 0000,349, ,CFS
SFJ,D,41,M FLOW,20020615 0000,20020615 0000,340, ,CFS
SFJ,D,41,M FLOW,20020616 0000,20020616 0000,329, ,CFS
SFJ,D,41,M FLOW,20020617 0000,20020617 0000,313, ,CFS
SFJ,D,41,M FLOW,20020618 0000,20020618 0000,315, ,CFS
SFJ,D,41,M FLOW,20020619 0000,20020619 0000,308, ,CFS
SFJ,D,41,M FLOW,20020620 0000,20020620 0000,287, ,CFS
SFJ,D,41,M FLOW,20020621 0000,20020621 0000,268, ,CFS
SFJ,D,41,M FLOW,20020622 0000,20020622 0000,247, ,CFS
SFJ,D,41,M FLOW,20020623 0000,20020623 0000,233, ,CFS
SFJ,D,41,M FLOW,20020624 0000,20020624 0000,222, ,CFS
SFJ,D,41,M FLOW,20020625 0000,20020625 0000,211, ,CFS
SFJ,D,41,M FLOW,20020626 0000,20020626 0000,206, ,CFS
SFJ,D,41,M FLOW,20020627 0000,20020627 0000,203, ,CFS
SFJ,D,41,M FLOW,20020628 0000,20020628 0000,196, ,CFS
SFJ,D,41,M FLOW,20020629 0000,20020629 0000,187, ,CFS
SFJ,D,41,M FLOW,20020630 0000,20020630 0000,169, ,CFS
SFJ,D,41,M FLOW,20020701 0000,20020701 0000,158, ,CFS
SFJ,D,41,M FLOW,20020702 0000,20020702 0000,149, ,CFS
SFJ,D,41,M FLOW,20020703 0000,20020703 0000,136, ,CFS
SFJ,D,41,M FLOW,20020704 0000,20020704 0000,122, ,CFS
SFJ,D,41,M FLOW,20020705 0000,20020705 0000,116, ,CFS
SFJ,D,41,M FLOW,20020706 0000,20020706 0000,107, ,CFS
SFJ,D,41,M FLOW,20020707 0000,20020707 0000,98, ,CFS
SFJ,D,41,M FLOW,20020708 0000,20020708 0000,92, ,CFS
SFJ,D,41,M FLOW,20020709 0000,20020709 0000,86, ,CFS
SFJ,D,41,M FLOW,20020710 0000,20020710 0000,82, ,CFS
SFJ,D,41,M FLOW,20020711 0000,20020711 0000,78, ,CFS
SFJ,D,41,M FLOW,20020712 0000,20020712 0000,72, ,CFS
SFJ,D,41,M FLOW,20020713 0000,20020713 0000,70, ,CFS
SFJ,D,41,M FLOW,20020714 0000,20020714 0000,75, ,CFS
SFJ,D,41,M FLOW,20020715 0000,20020715 0000,71, ,CFS
SFJ,D,41,M FLOW,20020716 0000,20020716 0000,67, ,CFS
SFJ,D,41,M FLOW,20020717 0000,20020717 0000,64, ,CFS
SFJ,D,41,M FLOW,20020718 0000,20020718 0000,61, ,CFS
SFJ,D,41,M FLOW,20020719 0000,20020719 0000,60, ,CFS
SFJ,D,41,M FLOW,20020720 0000,20020720 0000,56, ,CFS
SFJ,D,41,M FLOW,20020721 0000,20020721 0000,53, ,CFS
SFJ,D,41,M FLOW,20020722 0000,20020722 0000,53, ,CFS
SFJ,D,41,M FLOW,20020723 0000,20020723 0000,57, ,CFS
SFJ,D,41,M FLOW,20020724 0000,20020724 0000,52, ,CFS
SFJ,D,41,M FLOW,20020725 0000,20020725 0000,48, ,CFS
SFJ,D,41,M FLOW,20020726 0000,20020726 0000,44, ,CFS
SFJ,D,41,M FLOW,20020727 0000,20020727 0000,43, ,CFS
SFJ,D,41,M FLOW,20020728 0000,20020728 0000,41, ,CFS
SFJ,D,41,M FLOW,20020729 0000,20020729 0000,42, ,CFS
SFJ,D,41,M FLOW,20020730 0000,20020730 0000,40, ,CFS
SFJ,D,41,M FLOW,20020731 0000,20020731 0000,37, ,CFS
SFJ,D,41,M FLOW,20020801 0000,20020801 0000,35, ,CFS
SFJ,D,41,M FLOW,20020802 0000,20020802 0000,32, ,CFS
SFJ,D,41,M FLOW,20020803 0000,20020803 0000,28, ,CFS
SFJ,D,41,M FLOW,20020804 0000,20020804 0000,28, ,CFS
SFJ,D,41,M FLOW,20020805 0000,20020805 0000,28, ,CFS
SFJ,D,41,M FLOW,20020806 0000,20020806 0000,27, ,CFS
