"","Date","AF"
"797",2008-02-01,28568.1315744
"798",2008-03-01,46056.517056
"799",2008-04-01,39102.4193472
"800",2008-05-01,89715.0009888
"801",2008-06-01,33780.7296288
"802",2008-07-01,6182.32377312
"803",2008-08-01,1392.20798112
"804",2008-09-01,1008.00697536
"805",2008-10-01,2256.01561152
"806",2008-11-01,8337.97505376
"807",2008-12-01,7959.7245024
"808",2009-01-01,14441.7528288
"809",2009-02-01,15943.2508224
"810",2009-03-01,37692.1616544
"811",2009-04-01,29599.5436704
"812",2009-05-01,57120.3952704
"813",2009-06-01,18369.44942976
"814",2009-07-01,2185.8002496
"815",2009-08-01,660.163245984
"816",2009-09-01,418.81281552
"817",2009-10-01,1084.27196592
"818",2009-11-01,2857.2098544
"819",2009-12-01,4524.3288288
"820",2010-01-01,30644.84016
"821",2010-02-01,24260.0025888
"822",2010-03-01,32515.2663264
"823",2010-04-01,51378.2067744
"824",2010-05-01,69023.2875552
"825",2010-06-01,96210.9137088
"826",2010-07-01,17984.45503008
"827",2010-08-01,2482.52957568
"828",2010-09-01,2152.081008
"829",2010-10-01,7767.52482528
"830",2010-11-01,20707.581312
"831",2010-12-01,62775.3104352
"832",2011-01-01,62709.8554368
"833",2011-02-01,29405.16216
