LINE_NO,FID,row,col,layer,x,y,z,GROUND_SURFACE_ELEVATION_m,TOP_DEPTH_m,BOT_DEPTH_m,RHO_I,RHO_I_STD
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,887.2339975585937,913.1,26.265,31.887,54.22,1.0364
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,881.2244975585937,913.1,31.887,38.284,54.13,1.0354
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,874.3864975585938,913.1,38.284,45.563,54.29,1.0416
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,866.6054975585937,913.1,45.563,53.846,209.4,1.0523
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,857.7514975585938,913.1,53.846,63.271,298.1,1.0588
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,847.6789975585938,913.1,63.271,73.991,299.0,1.0619
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,836.2189975585937,913.1,73.991,86.191,299.6,1.0628
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,823.1739975585938,913.1,86.191,100.081,299.9,1.0624
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,808.3289975585938,913.1,100.081,115.881,299.9,1.0618
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,791.4389975585938,913.1,115.881,133.861,299.7,1.0616
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,772.2189975585937,913.1,133.861,154.321,299.3,1.0626
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,750.3489975585937,913.1,154.321,177.601,298.6,1.0651
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,725.4639975585937,913.1,177.601,204.091,297.4,1.069
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,697.1439975585938,913.1,204.091,234.241,207.8,1.0743
100101,14.0,125,15,0,501545.1847063679,4602804.416963224,915.3099975585938,911.9,0.0,2.0,163.5,1.127
100101,14.0,125,15,0,501545.1847063679,4602804.416963224,913.1719975585937,911.9,2.0,4.276,163.4,1.116
100101,14.0,125,15,0,501545.1847063679,4602804.416963224,910.7389975585937,911.9,4.276,6.866,163.2,1.105
100101,14.0,125,15,0,501545.1847063679,4602804.416963224,907.9704975585937,911.9,6.866,9.813,162.8,1.0927
100101,14.0,125,15,0,501545.1847063679,4602804.416963224,904.8204975585937,911.9,9.813,13.166,162.3,1.0799
100101,14.0,125,15,0,501545.1847063679,4602804.416963224,901.2359975585938,911.9,13.166,16.982,62.93,1.0658
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,897.1569975585937,911.9,16.982,21.324,62.18,1.0527
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,892.5154975585938,911.9,21.324,26.265,61.77,1.0427
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,887.2339975585937,911.9,26.265,31.887,61.51,1.0385
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,881.2244975585937,911.9,31.887,38.284,61.41,1.041
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,874.3864975585938,911.9,38.284,45.563,61.47,1.0476
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,866.6054975585937,911.9,45.563,53.846,206.7,1.0563
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,857.7514975585938,911.9,53.846,63.271,294.6,1.0615
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,847.6789975585938,911.9,63.271,73.991,295.9,1.0639
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,836.2189975585937,911.9,73.991,86.191,297.2,1.0643
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,823.1739975585938,911.9,86.191,100.081,298.5,1.0637
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,808.3289975585938,911.9,100.081,115.881,299.7,1.0627
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,791.4389975585938,911.9,115.881,133.861,300.7,1.0621
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,772.2189975585937,911.9,133.861,154.321,301.3,1.0622
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,750.3489975585937,911.9,154.321,177.601,301.3,1.0631
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,725.4639975585937,911.9,177.601,204.091,300.8,1.0648
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,697.1439975585938,911.9,204.091,234.241,135.5,1.0671
100101,14.0,125,15,1,501545.1847063679,4602804.416963224,664.9189975585937,911.9,234.241,268.541,100.3,1.0743
100101,15.0,125,16,0,501578.575108383,4602819.935268781,913.4000244140625,912.8,0.0,2.0,111.1,1.12
100101,15.0,125,16,0,501578.575108383,4602819.935268781,911.2620244140625,912.8,2.0,4.276,110.8,1.108
100101,15.0,125,16,0,501578.575108383,4602819.935268781,908.8290244140625,912.8,4.276,6.866,110.3,1.0968
100101,15.0,125,16,0,501578.575108383,4602819.935268781,906.0605244140625,912.8,6.866,9.813,109.6,1.085
100101,15.0,125,16,0,501578.575108383,4602819.935268781,902.9105244140625,912.8,9.813,13.166,107.6,1.0726
100101,15.0,125,16,0,501578.575108383,4602819.935268781,899.3260244140625,912.8,13.166,16.982,61.47,1.0596
100101,15.0,125,16,1,501578.575108383,4602819.935268781,895.2470244140625,912.8,16.982,21.324,61.21,1.0484
100101,15.0,125,16,1,501578.575108383,4602819.935268781,890.6055244140625,912.8,21.324,26.265,61.17,1.0413
