WELL_INFO_ID,row,col,layer,x,y,z,GROUND_SURFACE_ELEVATION_m,TOP_DEPTH_m,BOT_DEPTH_m,tex
17077,156,62,1,506192.9122810815,4599679.95500635,819.4112170898437,876.662712,54.864,55.4736,Sand
17077,156,62,1,506192.9122810815,4599679.95500635,816.3632170898437,876.662712,55.4736,60.96,Very_Coarse
17078,237,142,0,514275.2730917588,4591578.334041249,846.7288170898438,856.89948,0.0,19.2024,Mixed_Fine
17078,237,142,1,514275.2730917588,4591578.334041249,836.9752170898438,856.89948,19.2024,19.5072,Mixed_Coarse
17078,237,142,1,514275.2730917588,4591578.334041249,834.9940170898437,856.89948,19.5072,23.1648,Mixed_Fine
17078,237,142,1,514275.2730917588,4591578.334041249,832.5556170898437,856.89948,23.1648,24.384,Mixed_Coarse
17078,237,142,1,514275.2730917588,4591578.334041249,831.1840170898438,856.89948,24.384,25.908,Mixed_Fine
17078,237,142,1,514275.2730917588,4591578.334041249,829.6600170898438,856.89948,25.908,27.432,Mixed_Coarse
17078,237,142,1,514275.2730917588,4591578.334041249,822.4972170898437,856.89948,27.432,40.2336,Mixed_Fine
17089,59,13,0,501310.9162186247,4609402.890484893,807.2859975585937,811.80432,0.0,3.048,Mixed_Fine
17089,59,13,0,501310.9162186247,4609402.890484893,803.3235975585937,811.80432,3.048,7.9248,Mixed_Fine
17089,59,13,1,501310.9162186247,4609402.890484893,791.1315975585937,811.80432,7.9248,27.432,Very_Coarse
17089,59,13,1,501310.9162186247,4609402.890484893,779.8539975585937,811.80432,27.432,30.48,Very_Coarse
17089,59,13,1,501310.9162186247,4609402.890484893,776.8059975585937,811.80432,30.48,33.528,Very_Coarse
17089,59,13,1,501310.9162186247,4609402.890484893,772.2339975585937,811.80432,33.528,39.624,Very_Coarse
17089,59,13,1,501310.9162186247,4609402.890484893,766.1379975585937,811.80432,39.624,45.72,Very_Coarse
17089,59,13,1,501310.9162186247,4609402.890484893,760.0419975585937,811.80432,45.72,51.816,Very_Coarse
17091,221,142,0,514272.27574363764,4593210.307766576,875.630390234375,880.234968,0.0,1.2192,Mixed_Fine
17091,221,142,0,514272.27574363764,4593210.307766576,872.582390234375,880.234968,1.2192,6.096,Mixed_Fine
17091,221,142,0,514272.27574363764,4593210.307766576,867.553190234375,880.234968,6.096,11.2776,Mixed_Fine
17091,221,142,0,514272.27574363764,4593210.307766576,864.200390234375,880.234968,11.2776,12.8016,Very_Coarse
17091,221,142,1,514272.27574363764,4593210.307766576,860.695190234375,880.234968,12.8016,18.288,Sand
17095,156,143,0,514284.5922280994,4599720.829449601,843.018029296875,842.948784,0.0,1.524,Mixed_Fine
17095,156,143,0,514284.5922280994,4599720.829449601,834.636029296875,842.948784,1.524,16.764,Mixed_Fine
17095,156,143,1,514284.5922280994,4599720.829449601,825.949229296875,842.948784,16.764,18.8976,Mixed_Coarse
17095,156,143,1,514284.5922280994,4599720.829449601,823.663229296875,842.948784,18.8976,21.336,Mixed_Fine
17095,156,143,1,514284.5922280994,4599720.829449601,817.567229296875,842.948784,21.336,31.0896,Mixed_Coarse
17095,156,143,1,514284.5922280994,4599720.829449601,812.538029296875,842.948784,31.0896,31.3944,Mixed_Coarse
17095,156,143,1,514284.5922280994,4599720.829449601,811.776029296875,842.948784,31.3944,32.6136,Sand
17095,156,143,1,514284.5922280994,4599720.829449601,810.252029296875,842.948784,32.6136,34.4424,Mixed_Fine
17095,156,143,1,514284.5922280994,4599720.829449601,808.270829296875,842.948784,34.4424,36.576,Mixed_Coarse
17095,156,143,1,514284.5922280994,4599720.829449601,806.137229296875,842.948784,36.576,38.7096,Mixed_Fine
17095,156,143,1,514284.5922280994,4599720.829449601,804.613229296875,842.948784,38.7096,39.624,Mixed_Coarse
17095,156,143,1,514284.5922280994,4599720.829449601,802.632029296875,842.948784,39.624,42.672,Mixed_Fine
17095,156,143,1,514284.5922280994,4599720.829449601,800.803229296875,842.948784,42.672,43.2816,Mixed_Coarse
17095,156,143,1,514284.5922280994,4599720.829449601,800.041229296875,842.948784,43.2816,44.196,Mixed_Fine
17101,221,110,0,511060.8941038341,4593190.521313929,840.96798046875,843.378552,0.0,1.524,Mixed_Fine
17101,221,110,0,511060.8941038341,4593190.521313929,838.68198046875,843.378552,1.524,4.572,Mixed_Fine
17101,221,110,0,511060.8941038341,4593190.521313929,833.65278046875,843.378552,4.572,11.5824,Mixed_Coarse
17112,63,170,0,517057.265679743,4608989.344847677,949.8920024414062,965.176632,0.0,6.096,Very_Coarse
17112,63,170,0,517057.265679743,4608989.344847677,944.5580024414063,965.176632,6.096,10.668,Mixed_Coarse
17112,63,170,0,517057.265679743,4608989.344847677,939.2240024414062,965.176632,10.668,16.764,Mixed_Coarse
17112,63,170,1,517057.265679743,4608989.344847677,933.1280024414062,965.176632,16.764,22.86,Mixed_Coarse
17112,63,170,1,517057.265679743,4608989.344847677,928.5560024414062,965.176632,22.86,25.908,Very_Coarse
